"Second Helpings Truck Weight Report for "," all areas, "," donors and recipients ",<br>,"Week beginning Monday June 4, 2012"
"Atlanta Bread  Hilton Head",0,,0
"Big Lots",0,"Access Network",0
"BiLo   Hilton Head North",0,"Agape/Arthur McGirk",0
"BiLo  Boundary Street (158)",0,"Alzheimers Family Services",0
"BiLo  Hilton Head South (275)",0,"AME Church",0
"BiLo  Shell Point (525)",0,"Beaufort Marine Institute",0
"Bimbo Bakery",0,"Bethel Deliverance Temple",0
"Donor Programs",0,"Bluffton Recreation Center",0
"Food Lion  Kitties Xing  (2691)",0,"Bluffton Self Help  HHI",0
"Food Lion  Ladies Island (945)",0,"Bluffton Self Help (Sun City)",0
"Food Lion  Laurel Bay (1698)",0,"Booker T. Washington Center",0
"Food Lion Sun City",0,"Boys and Girls Club  Beaufort",0
"Fresh Market",0,"Boys and Girls Club  Bluffton",0
"Harris Teeter  HHI  South (123)",0,"Boys and Girls Club  HHI",0
"Harris Teeter  HHI North (152)",0,"Boys and Girls Club  Ridgeland",0
"Island  Bagels",0,"Burton Wells  Senior Center",0
"On The Truck",0,"Canal Appartments",0
"Pepperidge Farm",0,"Cannan Baptist",0
Pepsi,0,CAPA,0
"Pepsi Bottling Company",0,"Childrens Center  Bluffton",0
"Piggly Wiggly  Bluffton Pkwy",0,"Childrens Center  HHI",0
"Piggly Wiggly  Hardeeville",0,"Church of God and Unity",0
"Piggly Wiggly  Shelter Cove",0,Church_of_the_Cross,0
"Publix  278  (store 845)",0,CODA,0
"Publix  Buckwalter (1205)",0,"Community Bible Church",0
"Publix  Hardeeville (1354)",0,"Disability/Special Needs DSN",0
"Publix  Hilton Head North (473)",0,"Ebenezer Baptist Church",0
"Publix  Hilton Head South (700)",0,"First  BaptistSun City",0
"Publix (623) Beaufort",0,"First African Baptist  Beaufort",0
"R.T. Market",0,"Franciscan Center",0
"Sams Club",0,"G revival Ministries, Inc.",0
"Walgreens  Beaufort",0,"Hardeeville Thrift",0
"Walmart Supercenter Beaufort",0,"Hardeville Thrift Shop",0
"Walmart Supercenter Hardeeville",0,"Harvest Church",0
"Wild Wings  Sun City",0,"Holy Family Catholic Church",0
,,"Housing Auth.  Sandalwood",0
,,"Huspah Baptist Church",0
,,"Island House",0
,,"J. Davis School",0
,,"Left on Truck",0
,,"Leroy Brown Senior Center",0
,,"Memory Matters",0
,,"Michelle Kitter",0
,,"Mossy Oaks",0
,,"Mt. Calvary Baptist Ch.",0
,,"Mt.Calvary Baptist",0
,,"New Abundant Life   Hampton Cty via Ridgeland",0
,,"New Hope",0
,,"Our Ladys Pantry",0
,,"Parks and Leisure Seniors Bft",0
,,"Parks and Rec.  Bluffton",0
,,"Praise Assembly",0
,,"Revival Team Outreadh Ministry",0
,,"Room At The Inn",0
,,"Scotts Hill Center",0
,,"Second Goodwill Church",0
,,"Second Jordan Church",0
,,"Second Mt. Carmel Baptist",0
,,"Senior Citizens",0
,,"Senior Citizens  Bluffton",0
,,"Sheldon Community Enrichment",0
,,"Sinai Baptist Church",0
,,"SprinG Hill AME. Church.",0
,,"St. Andrew By The Sea",0
,,"St. Gregory",0
,,"St. Jude Church",0
,,"St. Jude Church Hampton County  via Ridgeland",0
,,"St. Stephens Ridgeland",0
,,"Tabernacle Baptist Church",0
,,"The Church of God in Unity",0
,,Truck/Warehouse/Soda,0
Totals,0,Totals,0
